﻿id,Tweet,Dialect
1,"""هما ي ابني مش تعاقدوا مع واحد صربي""",Egyptian
2,"""لا مش محتاج حد يقولي انا شايف وعارف كل حاجه""",Egyptian
3,"""دي قلبي مش حبيبتي""",Egyptian
4,"""عندي وكل صديقه او صديق فيهم بحب فيه حاجه وكلهم علي بعض كده اغلي ناس ف حياتي""",Egyptian
5,"""طبعا ي جماعه قمر مفيش كلام""",Egyptian
6,"""ليه حسابك علي الفيسبوك حزين امال لو شفت حساب البنك يبكي الحجر""",Egyptian
7,"""لا حول ولا قوه الا بالله هو النادي ده مفيش حد فيه بيستعمل البالونه اللي في دماغه دي طيب يا سيدي سحبوا اللقب من ال""",Egyptian
8,"""بجد اكتر حاجه مستفزه فالدنيا""",Egyptian
9,"""في حاجات تاني كتيير يابا""",Egyptian
10,"""ياريت مانشتريش بقي من الباعه الجاءلين""",Egyptian
11,"""و الازمه تبتدي لما تبدا تشوف بعين المحبه ان اللي قدامك ده مش زي اي حد و لا زي غيره و انه مش اي حد عادي ’""",Egyptian
12,"""طب حلو قابل بقي اللي جاي""",Egyptian
13,"""مش تقليل منك كلنا ف نفس الدوامه ده م شعارفه هنخرج منها ع امتي""",Egyptian
14,"""نتفلكس مش هنعملك المسلسل كوله يعني يعبغني""",Egyptian
15,"""ايوه يعم انت في ايه كان بيلعب علطول و لما راح البايرن راح و ادي و كان واحشنا كلنا و اديه رجع و هنش""",Egyptian
16,"""لو بتتكلمي جدف انا مش عارفه الصح فين لو بتتريقي مش عايزه اشوف وشك تاني""",Egyptian
17,"""هو مش وحش بس اقل افلام احمد حلمي حاجه زي اسعاف""",Egyptian
18,"""وهل الحب ليه جنسيهعلي كل حال انا بحبك ونفسي اكون صديق لك واللهشكر اذا قبلت وشكر ان لم تقبلي عفوا""",Egyptian
19,"""مءمن بيك وقت ما يكفروا بيك الباقيين حتي لو اتشاف تصرفه هبل وجنان وملوش اساس ولا منطق مش مهم المهم اني مقتنع""",Egyptian
20,"""بتعصب من الموضوع ده جدا""",Egyptian
21,"""لما باجي ادي لحد ف شغلي حقنه عليا بيبقي اعد يقولي ونبي براحه وببقي متعاطفه جدا مع انها حقنه الا حقنه طويل المفعول ا""",Egyptian
22,"""انتي لو فاكره انك هتغريني بخدودك وعيونك الواسعه دي يبقي انتي عندك حق""",Egyptian
23,"""انا كنت عارفه ان دا هيحصل بس مش عارفه ليه زعلت""",Egyptian
24,"""اللهم بارك ربنا يكرمهم يارب وربنا يتمم ليهم ع خير يارب""",Egyptian
25,"""يااريت الموضوع كله يكون واقف علمج الشاي انما الطمع هنعمل ايه بس""",Egyptian
26,"""لا ابدا ابدا خلاص علشان خاطرك بس""",Egyptian
27,"""مبقتش اصدق اي حد يقولي كلام حلو مبقتش بدي اهتمام للسوشيال ميديا كلها الكم ميهمش و لا حتي الكيف المهم ان اللي""",Egyptian
28,"""اما اقف بالعربيه تقوولي شكرا و تجري مش طالعه تستلمس شهاده تخرجك""",Egyptian
29,"""يختار اخته ويخير زوجته بالبقاء من عدمه ده راي المتواضع ولكن لو في حد من كبار العيله لزوجته يتدخل ويقنعها يبقي افضل""",Egyptian
30,"""مش عارف دا نضج مني و لا ملل""",Egyptian
31,"""انا الامتحان الي بحس اني هجيب فيه درجه وحشه مش بروحه""",Egyptian
32,"""انجليزي معقول لكن مش اوي شغل ايه اللي ينفعني""",Egyptian
33,"""احنا منعرفش حد في البلد دي غير هو اللي استنجدنا بيه ايام الاخوان و هو اللي فوضناه لمحاربه الارهاب و""",Egyptian
34,"""اكتر فكر مدربين مش قادر افهمه لاسارتي وزيدان لاسارتي مثلا بقالنا سنين ندور ع لاعب مركز قوي ويوم ما يجيلنا دبابه ن""",Egyptian
35,"""مش اللي ف بالك خالص""",Egyptian
36,"""انا لما بشوف سوري في اي مكان في مصر ببتسم له و ارحب بيه و اذا كان في وضع محتاج مساعده بساعد كفايه عليهم قه""",Egyptian
37,"""دي قناه ايه دي""",Egyptian
38,"""اي حاجه ليها علاقه باسوان و الاقصر و النوبه بتكون جميله جدا""",Egyptian
39,"""متطلبش من حد يحس بيك طول ما هو مش مكانك""",Egyptian
40,"""مش حلو""",Egyptian
41,"""لا مش مستعجل والله هو الحلم يتحقق ومش مهم امتي""",Egyptian
42,"""جماعه انتو مبتسافروش مع صحابكو ليه""",Egyptian
43,"""جماعه احنا ليه حظنا قليل بجد والله ليه ملناش حظ اساسا ف اي حاجه عدله غير قرف وبس""",Egyptian
44,"""او اقل او اكتر انتي كده كده محبوبه من غير حاجه""",Egyptian
45,"""اوه ياه""",Egyptian
46,"""انت متضمنش الشخص دا عمل كدا بارادته ولا بضغ من ال حواليه بس ال لازم تكون متقنوا ان ربنا اختارلك ا""",Egyptian
47,"""مش لازم ابقي مامن نفسي""",Egyptian
48,"""مش شايفه فين بالظبط""",Egyptian
49,"""بهزر علي فكره""",Egyptian
50,"""ايه الفيلم الضايع ده لسه ماشوفتوش واللهي اوعي تشتم احمدحلمي""",Egyptian
51,"""انا اول ولد جاوبت صح ليه حاجه انا كمان""",Egyptian
52,"""بستعجب من بجاحه صاحب مطعم عروس دمش في الاسكندريه اللي طلب من امنا تجبله راجل مع ان سوريا الغاليه طلبت راجل ملقت""",Egyptian
